timebucket,jfp_1,jfp_2,room_outlets,heater,halllight,oven,familylight,fridge,washer_dryer,fam_outlets,date,month,month_name,total,year_month
2020-03-15,0.267,0.298,0.067,0.0,0.0,0.0,0.048,0.171,0.0,0.255,2020-03-15,3,Mar,1.1059999999999999,2020-03
2020-03-15,0.234,0.261,0.043,0.0,0.0,0.0,0.047,0.158,0.0,0.24,2020-03-15,3,Mar,0.9830000000000001,2020-03
2020-03-15,0.19,0.212,0.034,0.0,0.0,0.0,0.045,0.137,0.0,0.174,2020-03-15,3,Mar,0.7920000000000001,2020-03
2020-03-15,0.152,0.17,0.0,0.0,0.0,0.0,0.049,0.111,0.0,0.142,2020-03-15,3,Mar,0.624,2020-03
2020-03-16,0.074,0.082,0.0,0.0,0.0,0.0,0.045,0.098,0.0,0.065,2020-03-16,3,Mar,0.364,2020-03
2020-03-16,0.046,0.051,0.0,0.0,0.0,0.0,0.046,0.069,0.0,0.05,2020-03-16,3,Mar,0.262,2020-03
2020-03-16,0.063,0.07,0.0,0.0,0.0,0.0,0.045,0.094,0.0,0.047,2020-03-16,3,Mar,0.319,2020-03
2020-03-16,0.064,0.072,0.0,0.0,0.0,0.0,0.045,0.098,0.0,0.047,2020-03-16,3,Mar,0.326,2020-03
2020-03-16,0.037,0.041,0.0,0.0,0.0,0.0,0.045,0.055,0.0,0.048,2020-03-16,3,Mar,0.22599999999999998,2020-03
2020-03-16,0.087,0.097,0.0,0.0,0.0,0.0,0.045,0.13,0.0,0.047,2020-03-16,3,Mar,0.40599999999999997,2020-03
2020-03-16,0.384,0.428,0.068,0.429,0.0,0.0,0.074,0.231,0.0,0.047,2020-03-16,3,Mar,1.6610000000000003,2020-03
2020-03-16,0.09,0.1,0.02,0.0,0.0,0.0,0.008,0.153,0.0,0.048,2020-03-16,3,Mar,0.419,2020-03
2020-03-16,0.071,0.079,0.0,0.0,0.0,0.0,0.0,0.137,0.0,0.046,2020-03-16,3,Mar,0.333,2020-03
2020-03-16,0.033,0.037,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.046,2020-03-16,3,Mar,0.18,2020-03
2020-03-16,0.051,0.057,0.0,0.0,0.0,0.0,0.0,0.099,0.0,0.046,2020-03-16,3,Mar,0.253,2020-03
2020-03-16,0.05,0.055,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.047,2020-03-16,3,Mar,0.248,2020-03
2020-03-16,0.036,0.04,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.046,2020-03-16,3,Mar,0.192,2020-03
2020-03-16,0.042,0.046,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.046,2020-03-16,3,Mar,0.21399999999999997,2020-03
2020-03-16,0.062,0.07,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.046,2020-03-16,3,Mar,0.299,2020-03
2020-03-16,0.037,0.041,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.047,2020-03-16,3,Mar,0.195,2020-03
2020-03-16,0.119,0.133,0.0,0.0,0.0,0.0,0.042,0.064,0.0,0.163,2020-03-16,3,Mar,0.521,2020-03
2020-03-16,0.364,0.406,0.0,0.0,0.0,0.422,0.047,0.137,0.0,0.176,2020-03-16,3,Mar,1.5519999999999998,2020-03
2020-03-16,0.261,0.291,0.069,0.0,0.0,0.154,0.062,0.103,0.0,0.175,2020-03-16,3,Mar,1.1150000000000002,2020-03
2020-03-16,0.181,0.202,0.0,0.0,0.0,0.0,0.048,0.136,0.0,0.185,2020-03-16,3,Mar,0.752,2020-03
2020-03-16,0.119,0.133,0.006,0.0,0.0,0.0,0.025,0.079,0.0,0.106,2020-03-16,3,Mar,0.468,2020-03
2020-03-16,0.185,0.207,0.0,0.0,0.0,0.0,0.047,0.141,0.0,0.189,2020-03-16,3,Mar,0.769,2020-03
2020-03-16,0.27,0.301,0.009,0.321,0.0,0.0,0.056,0.059,0.0,0.136,2020-03-16,3,Mar,1.152,2020-03
2020-03-16,0.105,0.117,0.0,0.0,0.0,0.0,0.045,0.137,0.0,0.077,2020-03-16,3,Mar,0.481,2020-03
2020-03-17,0.045,0.05,0.0,0.0,0.0,0.0,0.045,0.069,0.0,0.057,2020-03-17,3,Mar,0.266,2020-03
2020-03-17,0.045,0.05,0.0,0.0,0.0,0.0,0.045,0.068,0.0,0.049,2020-03-17,3,Mar,0.257,2020-03
2020-03-17,0.076,0.085,0.0,0.0,0.0,0.0,0.045,0.117,0.0,0.048,2020-03-17,3,Mar,0.371,2020-03
2020-03-17,0.048,0.054,0.0,0.0,0.0,0.0,0.045,0.074,0.0,0.048,2020-03-17,3,Mar,0.26899999999999996,2020-03
2020-03-17,0.041,0.045,0.0,0.0,0.0,0.0,0.045,0.062,0.0,0.048,2020-03-17,3,Mar,0.241,2020-03
2020-03-17,0.063,0.07,0.0,0.0,0.0,0.0,0.045,0.094,0.0,0.048,2020-03-17,3,Mar,0.32,2020-03
2020-03-17,0.067,0.075,0.0,0.0,0.0,0.0,0.045,0.102,0.0,0.046,2020-03-17,3,Mar,0.33499999999999996,2020-03
2020-03-17,0.253,0.282,0.0,0.343,0.0,0.0,0.051,0.067,0.0,0.047,2020-03-17,3,Mar,1.043,2020-03
2020-03-17,0.13,0.145,0.0,0.0,0.0,0.0,0.031,0.062,0.0,0.102,2020-03-17,3,Mar,0.47,2020-03
2020-03-17,0.152,0.169,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.046,2020-03-17,3,Mar,0.487,2020-03
2020-03-17,0.236,0.264,0.069,0.0,0.0,0.171,0.0,0.086,0.0,0.047,2020-03-17,3,Mar,0.8730000000000001,2020-03
2020-03-17,0.343,0.383,0.0,0.0,0.0,0.368,0.013,0.156,0.0,0.133,2020-03-17,3,Mar,1.3959999999999997,2020-03
2020-03-17,0.169,0.189,0.0,0.0,0.0,0.0,0.045,0.146,0.0,0.105,2020-03-17,3,Mar,0.654,2020-03
2020-03-17,0.144,0.16,0.039,0.0,0.0,0.0,0.017,0.054,0.0,0.045,2020-03-17,3,Mar,0.45899999999999996,2020-03
2020-03-17,0.171,0.191,0.024,0.0,0.0,0.0,0.019,0.117,0.0,0.045,2020-03-17,3,Mar,0.5670000000000001,2020-03
2020-03-17,0.199,0.222,0.039,0.0,0.0,0.0,0.082,0.139,0.0,0.041,2020-03-17,3,Mar,0.7220000000000001,2020-03
2020-03-17,0.174,0.194,0.024,0.0,0.0,0.0,0.09,0.061,0.0,0.041,2020-03-17,3,Mar,0.584,2020-03
2020-03-17,0.189,0.211,0.001,0.0,0.0,0.0,0.056,0.142,0.0,0.096,2020-03-17,3,Mar,0.6950000000000001,2020-03
2020-03-17,0.168,0.187,0.016,0.0,0.0,0.0,0.033,0.09,0.0,0.126,2020-03-17,3,Mar,0.62,2020-03
2020-03-17,0.168,0.187,0.046,0.0,0.0,0.0,0.0,0.11,0.0,0.05,2020-03-17,3,Mar,0.561,2020-03
2020-03-17,0.12,0.134,0.004,0.0,0.0,0.0,0.04,0.064,0.0,0.049,2020-03-17,3,Mar,0.411,2020-03
2020-03-17,0.389,0.434,0.012,0.533,0.0,0.0,0.041,0.14,0.0,0.067,2020-03-17,3,Mar,1.6159999999999999,2020-03
2020-03-17,0.166,0.185,0.037,0.0,0.0,0.0,0.046,0.116,0.0,0.123,2020-03-17,3,Mar,0.673,2020-03
2020-03-17,0.131,0.147,0.051,0.0,0.0,0.0,0.047,0.115,0.0,0.086,2020-03-17,3,Mar,0.5770000000000001,2020-03
2020-03-18,0.069,0.077,0.0,0.0,0.0,0.0,0.046,0.056,0.0,0.077,2020-03-18,3,Mar,0.325,2020-03
2020-03-18,0.108,0.121,0.0,0.0,0.0,0.0,0.046,0.091,0.0,0.083,2020-03-18,3,Mar,0.44899999999999995,2020-03
2020-03-18,0.11,0.123,0.0,0.0,0.0,0.0,0.046,0.102,0.0,0.079,2020-03-18,3,Mar,0.45999999999999996,2020-03
2020-03-18,0.038,0.043,0.0,0.0,0.0,0.0,0.046,0.054,0.0,0.073,2020-03-18,3,Mar,0.25399999999999995,2020-03
2020-03-18,0.084,0.094,0.0,0.0,0.0,0.0,0.046,0.128,0.0,0.071,2020-03-18,3,Mar,0.423,2020-03
2020-03-18,0.04,0.045,0.0,0.0,0.0,0.0,0.046,0.062,0.0,0.071,2020-03-18,3,Mar,0.26399999999999996,2020-03
2020-03-18,0.244,0.272,0.0,0.366,0.0,0.0,0.064,0.06,0.0,0.071,2020-03-18,3,Mar,1.077,2020-03
2020-03-18,0.133,0.149,0.006,0.0,0.0,0.019,0.039,0.134,0.0,0.105,2020-03-18,3,Mar,0.5850000000000001,2020-03
2020-03-18,0.201,0.224,0.054,0.0,0.0,0.16,0.0,0.107,0.0,0.112,2020-03-18,3,Mar,0.8580000000000001,2020-03
2020-03-18,0.139,0.155,0.025,0.0,0.0,0.0,0.0,0.131,0.0,0.045,2020-03-18,3,Mar,0.49500000000000005,2020-03
2020-03-18,0.191,0.213,0.028,0.0,0.0,0.184,0.0,0.063,0.0,0.045,2020-03-18,3,Mar,0.7240000000000001,2020-03
2020-03-18,0.147,0.165,0.062,0.0,0.0,0.013,0.018,0.144,0.0,0.044,2020-03-18,3,Mar,0.593,2020-03
